libmariadb-dev	1:10.11.18-0+deb12u1	arm64	ii 
libmariadb-dev-compat	1:10.11.18-0+deb12u1	arm64	ii 
libmariadb3:arm64	1:10.11.18-0+deb12u1	arm64	ii 
libmaxminddb-dev:arm64	1.7.1-1	arm64	ii 
libmaxminddb0:arm64	1.7.1-1	arm64	ii 
libmd0:arm64	1.0.4-2	arm64	ii 
libmount-dev:arm64	2.38.1-5+deb12u3	arm64	ii 
libmount1:arm64	2.38.1-5+deb12u3	arm64	ii 
libmpc3:arm64	1.3.1-1	arm64	ii 
libmpfr6:arm64	4.2.0-1	arm64	ii 
libncurses-dev:arm64	6.4-4	arm64	ii 
libncurses5-dev:arm64	6.4-4	arm64	ii 
libncurses6:arm64	6.4-4	arm64	ii 
libncursesw5-dev:arm64	6.4-4	arm64	ii 
libncursesw6:arm64	6.4-4	arm64	ii 
libnettle8:arm64	3.8.1-2	arm64	ii 
libnghttp2-14:arm64	1.52.0-1+deb12u3	arm64	ii 
libnpth0:arm64	1.6-3	arm64	ii 
libnsl-dev:arm64	1.3.0-2	arm64	ii 
libnsl2:arm64	1.3.0-2	arm64	ii 
libnuma1:arm64	2.0.16-1	arm64	ii 
libopenexr-3-1-30:arm64	3.1.5-5	arm64	ii 
libopenexr-dev	3.1.5-5	arm64	ii 
libopenjp2-7:arm64	2.5.0-2+deb12u3	arm64	ii 
libopenjp2-7-dev:arm64	2.5.0-2+deb12u3	arm64	ii 
libp11-kit0:arm64	0.24.1-2	arm64	ii 
libpam-modules:arm64	1.5.2-6+deb12u2	arm64	ii 
libpam-modules-bin	1.5.2-6+deb12u2	arm64	ii 
libpam-runtime	1.5.2-6+deb12u2	all	ii 
libpam0g:arm64	1.5.2-6+deb12u2	arm64	ii 
libpango-1.0-0:arm64	1.50.12+ds-1	arm64	ii 
libpangocairo-1.0-0:arm64	1.50.12+ds-1	arm64	ii 
libpangoft2-1.0-0:arm64	1.50.12+ds-1	arm64	ii 
libpcre2-16-0:arm64	10.42-1	arm64	ii 
libpcre2-32-0:arm64	10.42-1	arm64	ii 
libpcre2-8-0:arm64	10.42-1	arm64	ii 
libpcre2-dev:arm64	10.42-1	arm64	ii 
libpcre2-posix3:arm64	10.42-1	arm64	ii 
libperl5.36:arm64	5.36.0-7+deb12u3	arm64	ii 
libpixman-1-0:arm64	0.42.2-1	arm64	ii 
libpixman-1-dev:arm64	0.42.2-1	arm64	ii 
libpkgconf3:arm64	1.8.1-1	arm64	ii 
libpng-dev:arm64	1.6.39-2+deb12u5	arm64	ii 
libpng16-16:arm64	1.6.39-2+deb12u5	arm64	ii 
libpq-dev	15.19-0+deb12u1	arm64	ii 
libpq5:arm64	15.19-0+deb12u1	arm64	ii 
libproc2-0:arm64	2:4.0.2-3	arm64	ii 
libpsl5:arm64	0.21.2-1	arm64	ii 
libpthread-stubs0-dev:arm64	0.4-1	arm64	ii 
libpython3-stdlib:arm64	3.11.2-1+b1	arm64	ii 
libpython3.11-minimal:arm64	3.11.2-6+deb12u8	arm64	ii 
libpython3.11-stdlib:arm64	3.11.2-6+deb12u8	arm64	ii 
libreadline-dev:arm64	8.2-1.3	arm64	ii 
libreadline8:arm64	8.2-1.3	arm64	ii 
librsvg2-2:arm64	2.54.7+dfsg-1~deb12u1	arm64	ii 
librsvg2-common:arm64	2.54.7+dfsg-1~deb12u1	arm64	ii 
librsvg2-dev:arm64	2.54.7+dfsg-1~deb12u1	arm64	ii 
librtmp1:arm64	2.4+20151223.gitfa8646d.1-2+b2	arm64	ii 
libsasl2-2:arm64	2.1.28+dfsg-10	arm64	ii 
libsasl2-modules-db:arm64	2.1.28+dfsg-10	arm64	ii 
libseccomp2:arm64	2.5.4-1+deb12u1	arm64	ii 
libselinux1:arm64	3.4-1+b6	arm64	ii 
libselinux1-dev:arm64	3.4-1+b6	arm64	ii 
libsemanage-common	3.4-1	all	ii 
libsemanage2:arm64	3.4-1+b5	arm64	ii 
libsepol-dev:arm64	3.4-2.1	arm64	ii 
libsepol2:arm64	3.4-2.1	arm64	ii 
libserf-1-1:arm64	1.3.9-11	arm64	ii 
libsm-dev:arm64	2:1.2.3-1	arm64	ii 
libsm6:arm64	2:1.2.3-1	arm64	ii 
libsmartcols1:arm64	2.38.1-5+deb12u3	arm64	ii 
libsqlite3-0:arm64	3.40.1-2+deb12u2	arm64	ii 
libsqlite3-dev:arm64	3.40.1-2+deb12u2	arm64	ii 
libss2:arm64	1.47.0-2+b2	arm64	ii 
libssh2-1:arm64	1.10.0-3+b1	arm64	ii 
libssl-dev:arm64	3.0.20-1~deb12u2	arm64	ii 
libssl3:arm64	3.0.20-1~deb12u2	arm64	ii 
libstdc++-12-dev:arm64	12.2.0-14+deb12u1	arm64	ii 
libstdc++6:arm64	12.2.0-14+deb12u1	arm64	ii 
libsvn1:arm64	1.14.2-4+deb12u1	arm64	ii 
libsystemd0:arm64	252.39-1~deb12u2	arm64	ii 
libtasn1-6:arm64	4.19.0-2+deb12u1	arm64	ii 
libthai-data	0.1.29-1	all	ii 
libthai0:arm64	0.1.29-1	arm64	ii 
libtiff-dev:arm64	4.5.0-6+deb12u4	arm64	ii 
libtiff6:arm64	4.5.0-6+deb12u4	arm64	ii 
libtiffxx6:arm64	4.5.0-6+deb12u4	arm64	ii 
libtinfo6:arm64	6.4-4	arm64	ii 
libtirpc-common	1.3.3+ds-1	all	ii 
libtirpc-dev:arm64	1.3.3+ds-1	arm64	ii 
libtirpc3:arm64	1.3.3+ds-1	arm64	ii 
libtool	2.4.7-7~deb12u1	all	ii 
libtsan2:arm64	12.2.0-14+deb12u1	arm64	ii 
libubsan1:arm64	12.2.0-14+deb12u1	arm64	ii 
libudev1:arm64	252.39-1~deb12u2	arm64	ii 
libunistring2:arm64	1.0-2	arm64	ii 
libutf8proc2:arm64	2.8.0-1	arm64	ii 
libuuid1:arm64	2.38.1-5+deb12u3	arm64	ii 
libwebp-dev:arm64	1.2.4-0.2+deb12u1	arm64	ii 
libwebp7:arm64	1.2.4-0.2+deb12u1	arm64	ii 
libwebpdemux2:arm64	1.2.4-0.2+deb12u1	arm64	ii 
libwebpmux3:arm64	1.2.4-0.2+deb12u1	arm64	ii 
libwmf-0.2-7:arm64	0.2.12-5.1	arm64	ii 
libwmf-dev	0.2.12-5.1	arm64	ii 
libwmflite-0.2-7:arm64	0.2.12-5.1	arm64	ii 
libx11-6:arm64	2:1.8.4-2+deb12u2	arm64	ii 
libx11-data	2:1.8.4-2+deb12u2	all	ii 
libx11-dev:arm64	2:1.8.4-2+deb12u2	arm64	ii 
libx265-199:arm64	3.5-2+b1	arm64	ii 
libxau-dev:arm64	1:1.0.9-1	arm64	ii 
libxau6:arm64	1:1.0.9-1	arm64	ii 
libxcb-render0:arm64	1.15-1	arm64	ii 
libxcb-render0-dev:arm64	1.15-1	arm64	ii 
libxcb-shm0:arm64	1.15-1	arm64	ii 
libxcb-shm0-dev:arm64	1.15-1	arm64	ii 
libxcb1:arm64	1.15-1	arm64	ii 
libxcb1-dev:arm64	1.15-1	arm64	ii 
libxdmcp-dev:arm64	1:1.1.2-3	arm64	ii 
libxdmcp6:arm64	1:1.1.2-3	arm64	ii 
libxext-dev:arm64	2:1.3.4-1+b1	arm64	ii 
libxext6:arm64	2:1.3.4-1+b1	arm64	ii 
libxml2:arm64	2.9.14+dfsg-1.3~deb12u6	arm64	ii 
libxml2-dev:arm64	2.9.14+dfsg-1.3~deb12u6	arm64	ii 
libxrender-dev:arm64	1:0.9.10-1.1	arm64	ii 
libxrender1:arm64	1:0.9.10-1.1	arm64	ii 
libxslt1-dev:arm64	1.1.35-1+deb12u4	arm64	ii 
libxslt1.1:arm64	1.1.35-1+deb12u4	arm64	ii 
libxt-dev:arm64	1:1.2.1-1.1	arm64	ii 
libxt6:arm64	1:1.2.1-1.1	arm64	ii 
libxxhash0:arm64	0.8.1-1	arm64	ii 
libyaml-0-2:arm64	0.2.5-1	arm64	ii 
libyaml-dev:arm64	0.2.5-1	arm64	ii 
libzstd-dev:arm64	1.5.4+dfsg2-5	arm64	ii 
libzstd1:arm64	1.5.4+dfsg2-5	arm64	ii 
linux-libc-dev:arm64	6.1.180-1	arm64	ii 
login	1:4.13+dfsg1-1+deb12u2	arm64	ii 
logsave	1.47.0-2+b2	arm64	ii 
m4	1.4.19-3	arm64	ii 
make	4.3-4.1	arm64	ii 
mariadb-common	1:10.11.18-0+deb12u1	all	ii 
mawk	1.3.4.20200120-3.1	arm64	ii 
media-types	10.0.0	all	ii 
mercurial	6.3.2-1+deb12u1	arm64	ii 
mercurial-common	6.3.2-1+deb12u1	all	ii 
mount	2.38.1-5+deb12u3	arm64	ii 
mysql-common	5.8+1.1.0	all	ii 
ncurses-base	6.4-4	all	ii 
ncurses-bin	6.4-4	arm64	ii 
netbase	6.4	all	ii 
openssh-client	1:9.2p1-2+deb12u10	arm64	ii 
openssl	3.0.20-1~deb12u2	arm64	ii 
passwd	1:4.13+dfsg1-1+deb12u2	arm64	ii 
patch	2.7.6-7	arm64	ii 
perl	5.36.0-7+deb12u3	arm64	ii 
perl-base	5.36.0-7+deb12u3	arm64	ii 
perl-modules-5.36	5.36.0-7+deb12u3	all	ii 
pinentry-curses	1.2.1-1	arm64	ii 
pkg-config:arm64	1.8.1-1	arm64	ii 
pkgconf:arm64	1.8.1-1	arm64	ii 
pkgconf-bin	1.8.1-1	arm64	ii 
procps	2:4.0.2-3	arm64	ii 
python3	3.11.2-1+b1	arm64	ii 
python3-distutils	3.11.2-3	all	ii 
python3-lib2to3	3.11.2-3	all	ii 
python3-minimal	3.11.2-1+b1	arm64	ii 
python3.11	3.11.2-6+deb12u8	arm64	ii 
python3.11-minimal	3.11.2-6+deb12u8	arm64	ii 
readline-common	8.2-1.3	all	ii 
rpcsvc-proto	1.4.3-1	arm64	ii 
sed	4.9-1+deb12u1	arm64	ii 
sensible-utils	0.0.17+nmu1	all	ii 
shared-mime-info	2.2-1	arm64	ii 
sq	0.27.0-2+b1	arm64	ii 
subversion	1.14.2-4+deb12u1	arm64	ii 
sysvinit-utils	3.06-4	arm64	ii 
tar	1.34+dfsg-1.2+deb12u1	arm64	ii 
tzdata	2026b-0+deb12u1	all	ii 
ucf	3.0043+nmu1+deb12u1	all	ii 
unzip	6.0-28+deb12u1	arm64	ii 
usr-is-merged	37~deb12u1	all	ii 
util-linux	2.38.1-5+deb12u3	arm64	ii 
util-linux-extra	2.38.1-5+deb12u3	arm64	ii 
uuid-dev:arm64	2.38.1-5+deb12u3	arm64	ii 
wget	1.21.3-1+deb12u1	arm64	ii 
x11-common	1:7.7+23	all	ii 
x11proto-core-dev	2022.1-1	all	ii 
x11proto-dev	2022.1-1	all	ii 
xorg-sgml-doctools	1:1.11-1.1	all	ii 
xtrans-dev	1.4.0-1	all	ii 
xz-utils	5.4.1-1+deb12u1	arm64	ii 
zlib1g:arm64	1:1.2.13.dfsg-1	arm64	ii 
zlib1g-dev:arm64	1:1.2.13.dfsg-1	arm64	ii 
